k,rmse
1,0.876482412
2,0.753214093
3,0.726601851
4,0.718097623
5,0.714624763
6,0.713384489
7,0.711963449
8,0.078835462
9,0.08046033
10,0.08247248
11,0.081985352
12,0.085140417
13,0.095093296
14,0.100670274
15,0.105167874
16,0.106358373
17,0.114826463
18,0.119832123
19,0.122859929
20,0.12474486
21,0.124943533
22,0.129240613
23,0.130711071
24,0.133784811
25,0.134955803
26,0.140213257
27,0.140753716
28,0.142816956
29,0.143919109
30,0.144256227
31,0.144519102
32,0.144501752
33,0.148045597
34,0.150996467
35,0.153935199
36,0.154213616
37,0.154281075
38,0.157333182
39,0.157766548
40,0.158234184
41,0.15867273
42,0.158884934
43,0.160216447
44,0.160913437
45,0.162138398
46,0.162175676
47,0.16220191
48,0.162218217
49,0.163232794
50,0.16323222
51,0.165444147
52,0.167276442
53,0.16967918
54,0.171939917
55,0.172024497
56,0.174255268
57,0.174751767
58,0.176066364
59,0.178643994
60,0.178804828
61,0.180560143
62,0.181417749
63,0.181988455
64,0.183013063
65,0.183349841
66,0.186186358
67,0.186807995
68,0.187283192
69,0.190186053
70,0.192439915
71,0.19314349
72,0.194225743
73,0.199078014
74,0.20132109
75,0.202821518
76,0.203679132
77,0.204519298
78,0.205563896
79,0.207875272
80,0.207984096
81,0.208358031
82,0.208771906
83,0.208795037
84,0.209088858
85,0.209743795
86,0.210010732
87,0.21048755
88,0.213528948
89,0.213975809
90,0.217303578
91,0.217328318
92,0.217360968
93,0.219469901
94,0.22179501
95,0.222855324
96,0.223389809
97,0.224260301
98,0.224309027
99,0.224552372
100,0.226361728