x,company_us,mlp_mssa_us,wn_mssa_us,compnay_ch,mlp_mssa_ch,wn_mssa_ch
1,AAPL,1.09,0.92,Agricultural Bank of China,0.24,7.82
2,AMZN,0.94,9.97,Anhui Coonch Cement,0.94,2.25
3,Coca Cola,0.8,0.42,China Duty Free Group,1.52,1.16
4,DIS,0.56,2.3,China Life Insurance Company Limited,0.95,0.66
5,EBAY,0.93,0.95,China Merchants Bank,0.86,10.14
6,FORD,1.06,1.37,China Pacific Insurance,0.89,8.44
7,GE,1.15,5.18,China Shenhua,1.28,3.16
8,GM,0.97,0.68,CITIC Securities,0.86,15
9,GOOG,0.85,0.43,Hengrui Medicine,0.98,1.01
10,INTC,0.67,0.5,Kweichow Moutai,0.98,0.6
11,MSFT,0.92,10,PetroChina,0.76,15
12,NFLX,0.76,0.55,Ping An,0.64,2.1
13,NKE,0.8,0.84,SAIC Motor,2.87,0.51
14,UBER,1.81,1.07,Sinopec,1.31,0.68
15,WMT,0.59,0.42,Wanhua Chemical Group,1.12,2.35